TITAN OMNISCIENCE - ARQUITECTURA DE BASE DE DATOS,,,,,
Sistema de Big Data para Predicción Deportiva con XGBoost,,,,,
Versión: 3.1 FINAL | Variables: 615 | Tablas: 41 | Normalización: 3NF,,,,,
,,,,,
CATEGORÍA,TABLAS,VARS,DESCRIPCIÓN,,
11,match_lineups,PARTIDO,"FK: match_id, player_id. Alineaciones, formación, rotaciones.",,
12,match_odds,PARTIDO,"FK: match_id. Cuotas apertura/cierre, movimientos, handicaps.",,
13,match_travel,PARTIDO,"FK: match_id, team_id. Viajes, jet lag, días descanso, fatiga.",,
14,match_h2h,PARTIDO,FK: match_id. Historial head-to-head entre equipos.,,
15,match_events,EVENTO,"PK: event_id. Eventos atómicos con minuto, coordenadas x/y.",,
16,goals,EVENTO,"FK: event_id. Goles con tipo, asistencia, xG, parte cuerpo.",,
17,shots,EVENTO,"FK: event_id. Tiros con posición, xG, resultado, big chance.",,
18,cards,EVENTO,"FK: event_id. Tarjetas con tipo, motivo, zona.",,
19,substitutions,EVENTO,FK: event_id. Cambios con motivo e intención táctica.,,
20,fouls,EVENTO,"FK: event_id. Faltas con severidad, ventaja, resultado.",,
21,set_pieces,EVENTO,"FK: event_id. Corners, faltas, saques con ubicación y resultado.",,
22,var_reviews,EVENTO,"FK: event_id. Revisiones VAR con motivo, duración, decisión.",,
23,team_season_stats,RENDIMIENTO,"FK: team_id, season_id. xG, forma, rachas, corners, transiciones.",,
24,player_season_stats,RENDIMIENTO,"FK: player_id, season_id. Goles, asistencias, ratings, porteros.",,
25,player_match_stats,RENDIMIENTO,"FK: player_id, match_id. Rendimiento individual por partido.",,
26,referee_season_stats,RENDIMIENTO,"FK: referee_id, season_id. Tarjetas, penales, sesgo.",,
27,cities,AUXILIAR,PK: city_id. Coordenadas y zona horaria de ciudades.,,
28,player_injuries,AUXILIAR,"FK: player_id. Historial lesiones con tipo, gravedad, duración.",,
29,player_transfers,AUXILIAR,FK: player_id. Traspasos para detectar ex-jugadores.,,
30,manager_tenures,AUXILIAR,"FK: manager_id, team_id. Períodos de entrenadores por club.",,
31,match_attendance,PSICOLOGÍA,"FK: match_id. Asistencia, presión hinchada, sentimiento redes.",,
32,match_stoppage_times,PSICOLOGÍA,"FK: match_id. Tiempos añadidos, pausas, interrupciones.",,
33,referee_match_history,PSICOLOGÍA,"FK: referee_id, team_id. Historial árbitro vs equipos específicos.",,
34,manager_match_context,PSICOLOGÍA,"FK: match_id. Contexto entrenadores: tenure, H2H, nuevo.",,
35,match_emotional_connections,PSICOLOGÍA,"FK: match_id. Ex-jugadores, familiares, ley del ex.",,
36,cross_correlation_features,PSICOLOGÍA,FK: match_id. Variables derivadas para XGBoost.,,
37,player_personal_events,PSICOLOGÍA,"FK: player_id. Eventos vitales: duelos, nacimientos, enfermedades.",,
38,match_geopolitical_context,PSICOLOGÍA,"FK: match_id. Conflictos, orden público, tensiones.",,
39,player_tournament_context,PSICOLOGÍA,"FK: player_id. Proximidad torneos mayores, convocatorias.",,
40,player_media_incidents,PSICOLOGÍA,"FK: player_id. Errores virales, presión mediática post-fallo.",,
41,player_discipline_history,PSICOLOGÍA,"FK: player_id. Sanciones, multas, conflictos, indisciplina.",,
,,,,,
,,,,,
RELACIONES CLAVE (FOREIGN KEYS),,,,,
,,,,,
RELACIÓN,CARDINALIDAD,PROPÓSITO,,,
matches.home_team_id → teams.team_id,N:1,Equipo local del partido,,,
matches.away_team_id → teams.team_id,N:1,Equipo visitante del partido,,,
matches.stadium_id → stadiums.stadium_id,N:1,Estadio donde se juega,,,
matches.referee_id → referees.referee_id,N:1,Árbitro asignado,,,
matches.competition_id → competitions.competition_id,N:1,Competición del partido,,,
competitions.season_id → seasons.season_id,N:1,Temporada de la competición,,,
match_lineups.player_id → players.player_id,N:1,Jugador en alineación,,,
match_lineups.team_id → teams.team_id,N:1,Equipo de la alineación,,,
player_transfers.from_team_id → teams.team_id,N:1,Club origen del traspaso,,,
player_transfers.to_team_id → teams.team_id,N:1,Club destino del traspaso,,,
goals.scorer_id → players.player_id,N:1,Goleador,,,
goals.assister_id → players.player_id,N:1,Asistidor (nullable),,,
team_season_stats → teams + seasons + competitions,N:1:1:1,Stats agregadas por equipo/temporada,,,
player_season_stats → players + seasons + competitions,N:1:1:1,Stats agregadas por jugador/temporada,,,
,,,,,
,,,,,
NOTA CRÍTICA PARA CONSULTAS,,,,,
,,,,,
teams.team_type = 'CLUB' | 'NATIONAL_TEAM',,,,,
→ Permite consultar rendimiento de un jugador con su CLUB vs con su SELECCIÓN,,,,,
,,,,,
seasons.is_world_cup_year = TRUE | FALSE,,,,,
"→ Permite filtrar análisis por años de Mundial, Eurocopa, etc.",,,,,
,,,,,
player_transfers.from_team_id / to_team_id,,,,,
→ Permite detectar 'Ley del Ex' (jugadores enfrentando a su ex-club),,,,,
,,,,,
,,,,,
ESTADO DEL DICCIONARIO,,,,,
,,,,,
✅ FINALIZADO,,,,,
Variables: 615 | Tablas: 41 | Normalización: 3NF | Cobertura: ~97-100%,,,,,
,,,,,
Listo para:,,,,,
• Generación de DDL SQL (CREATE TABLE),,,,,
• Diseño de pipeline de ingesta de datos,,,,,
• Entrenamiento de modelo XGBoost,,,,,
"• Análisis multidimensional (Club vs Selección, años Mundial, etc.)",,,,,
